company_id,bloomberg_id,company_name,country_of_domicile,ticker,corporate_bond_ticker,figi,isin,cusip,sedol1,asset_type,security_icb_subsector,security_bics_subgroup,security_bclass4,security_mapped_sector,cfi_code,security_type,maturity_date,issue_date,amount_issued,amount_out,coupon_value,par_price,par_amount,current_face_amount,accrued_interest,security_amount_out_native,unit_share_price,position_market,market_value,current_shares_outstanding,current_shares_outstanding_all_classes,free_float_percent,free_float_shares,exchange_rate_usd,moody_rating,s_and_p_rating,fitch_rating,financial_timestamp
,,,US,G2SF 4.5 7/14,G2SF,BBG004SK11R3,US21H0426799,21H042679,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,86532994,50821206,4.5,,86532994103,,,50821206,,1,,,,,,1,,,,2019Q4
,,,US,FNCT 3.5 7/14,FNCT,BBG004SK1C08,US01F0325757,01F032575,,Bonds,,UMBS Single Family 20yr,,Other,,TBAs,,,85292205,,3.5,,85292205492,,,,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 3 8/14,G2SF,BBG004XNXV36,US21H0306827,21H030682,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,96934180,121633827,3,,96934179507,,,121633827,,1,,,,,,1,,,,2019Q4
,,,US,FNCL 4 9/14,FNCL,BBG00578P2J1,US01F0406938,01F040693,,Bonds,,UMBS Single Family 30yr,,Other,,TBAs,,,37969868.78,24172296.5,4,,37969868784,,0.111111111,24172296.5,,1,,,,,,1,,,,2019Q4
11541,13966223,Inter Rao Ues Pjsc,RU,IRAOLUSD EO,,BBG0059JH9X3,US45835N1054,45835N105,,Others,Conventional Electricity,Electric-Generation,Electric,Power,EDSXFR,Depository Receipts,,,,,,,,,,,,1,0,,104400000000,39.5650872,,1,,,,2019Q4
,,,US,G2SF 3 10/14,G2SF,BBG005CM86M0,US21H0306A72,21H0306A7,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,96934179.51,121633826.7,3,,96934179507,,0.183333333,121633826.7,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 3.5 10/14,G2SF,BBG005CM8MB7,US21H0326A37,21H0326A3,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,3940287.473,2993320.903,3.5,,3940287473,,0.213888889,2993320.903,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 3.5 11/14,G2SF,BBG005JVFSQ3,US21H0326B10,21H0326B1,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,3940287.473,2993320.903,3.5,,3940287473,,,2993320.903,,1,,,,,,1,,,,2019Q4
,,,US,FGLMC 4 11/14,FGLMC,BBG005JVFWW7,US02R0406B30,02R0406B3,,Bonds,,FGLMC Single Family 30yr,,Other,,TBAs,,,7215337.694,4369096.696,4,,7215337694,,0.133333333,4369096.696,,1,,,,,,1,,,,2019Q4
,,,US,G2SF 4 1/15,G2SF,BBG005SRD7F2,US21H0406163,21H040616,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,13163857.35,8567362.182,4,103.503,13163857348,1,0.222222222,8567362.182,103.618,1,1.038402222,,,,,1,,,,2019Q4
,,,US,G2SF 4 2/15,G2SF,BBG005YSKYV8,US21H0406247,21H040624,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,13163857.35,8567362.182,4,103.616,13163857348,1,0.2,8567362.182,103.723,1,1.03923,,,,,1,,,,2019Q4
,,,US,FNCL 3.5 3/15,FNCL,BBG0063CP696,US01F0326334,01F032633,,Bonds,,FNMA Single Family 30yr,,Other,,TBAs,,,4118667,2853919,3.5,103.128,4118667271,1,0.1069444,2853919,102.922,1,1.030289,,,,,1,,,,2019Q4
