investor_name,portfolio_name,holding_id,isin,value_usd,company_name,asset_type,valid_input,direct_holding,security_mapped_sector,financial_sector,sectors_with_assets,has_ald_in_fin_sector,flag
Test,auto_eq_cb_full,BR218407,US185508AG32,12393669,Cleco Power Llc,Bonds,TRUE,TRUE,Power,Power,Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR256605,US42809HAC16,4680328,Hess Corp,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Oil&Gas + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR321391,US745332CC86,867342,Puget Sound Energy Inc,Bonds,TRUE,TRUE,Power,Power,Aviation + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR418464,US816851AU37,2092010,Sempra Energy,Bonds,TRUE,TRUE,Power,Power,Coal + Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR55440,US651290AQ17,1622088,NA,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,NA,FALSE,Included in analysis
Test,auto_eq_cb_full,BR222439,US453258AP01,102150,Vale Canada Ltd,Bonds,TRUE,TRUE,Steel,Steel,Aviation + Coal + Power + Shipping,FALSE,Included in analysis
Test,auto_eq_cb_full,BR335296,US91911TAP84,3475500,Vale Overseas Ltd,Bonds,TRUE,TRUE,Steel,Steel,Aviation + Coal + Power + Shipping,FALSE,Included in analysis
Test,auto_eq_cb_full,BR238738,US210518DA13,10842070,Consumers Energy Co,Bonds,TRUE,TRUE,Power,Power,Power,TRUE,Included in analysis
Test,auto_eq_cb_full,BR548058,US03674PAL76,445875,Antero Resources Corp,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Oil&Gas,TRUE,Included in analysis
Test,auto_eq_cb_full,BR399381,US929160AS87,23252766,Vulcan Materials Co,Bonds,TRUE,TRUE,Cement,Cement,Aviation + Power,FALSE,Included in analysis
Test,auto_eq_cb_full,BR421476,US90400GAB77,601493,Ultra Resources Inc/Us,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,NA,FALSE,Included in analysis
Test,auto_eq_cb_full,BR372354,US008911AZ26,335194,Air Canada,Bonds,TRUE,TRUE,Aviation,Aviation,Aviation,TRUE,Included in analysis
Test,auto_eq_cb_full,BR123227,US694308HD23,1095989,Pacific Gas & Electric Co,Bonds,TRUE,TRUE,Power,Power,Aviation + Coal + Power,TRUE,Included in analysis
