Co. Corp TKR,Total,Utilities,Supranationals,Government Development Banks,Transportation & Logistics,Power Generation,Automobiles Manufacturing,Chemicals,Metals & Mining,Exploration & Production,Pipeline,Integrated Oils,Airlines,Coal Operations,Oil & Gas Services & Equipment,Renewable Energy,Refining & Marketing,Winding Up Agencies,Government Agencies,Government Regional,Sovereigns,Government Local
OAS,2052950000,,,,,,,,,2052950000,,,,,,,,,,,,
NZPOST,146240000,,,,,,,,,,,,,,,,,,146240000,,,
NYRBB,1219628060,,,,,,,,1219628060,,,,,,,,,,,,,
NYNAAB,138351400,,,,,,,,,,,,,,,,138351400,,,,,
NYMTMM,503194857,,,,503194857,,,,,,,,,,,,,,,,,
NYLD,1482500000,,,,,1482500000,,,,,,,,,,,,,,,,
NXSHEN,452711300,,,,,,,,452711300,,,,,,,,,,,,,
NXELEG,79742500,,,,,79742500,,,,,,,,,,,,,,,,
NXECN,60000000,,,,,,,,60000000,,,,,,,,,,,,,
NXCOMM,294562750,,,,294562750,,,,,,,,,,,,,,,,,
NXBTPC,286750000,,,,,,,286750000,,,,,,,,,,,,,,
NWTSF,11622279,,,,,,,,,11622279,,,,,,,,,,,,
NWRWPT,5065319400,,,,,,,,,,,,,,,,5065319400,,,,,
NWRLN,545833373,,,,,,,,,,,,,545833373,,,,,,,,
NWRICH,118661584,,,,,118661584,,,,,,,,,,,,,,,,
NWNFM,47845500,,,,,,,,47845500,,,,,,,,,,,,,
NWN,786700000,786700000,,,,,,,,,,,,,,,,,,,,
NWGLN,2976657620,2976657620,,,,,,,,,,,,,,,,,,,,
NWENET,1294266000,1294266000,,,,,,,,,,,,,,,,,,,,
NWE,1635000000,1635000000,,,,,,,,,,,,,,,,,,,,
NVTKRM,1650000000,,,,,,,,,1650000000,,,,,,,,,,,,
NVGS,100000000,,,,100000000,,,,,,,,,,,,,,,,,
NUW,0,0,,,,,,,,,,,,,,,,,,,,
NUFAU,521482800,,,,,,,521482800,,,,,,,,,,,,,,
NUE,2750000000,,,,,,,,2750000000,,,,,,,,,,,,,
NTSAIL,77973000,,,,,77973000,,,,,,,,,,,,,,,,
NTPCIN,8377267113,,,,,8377267113,,,,,,,,,,,,,,,,
NTIA,3024570650,,,,3024570650,,,,,,,,,,,,,,,,,
NTI,0,,,,,,,,,,,,,,,,0,,,,,
NTBTIT,0,,,,0,,,,,,,,,,,,,,,,,
NSUS,1900000000,,,,,,,,,,1900000000,,,,,,,,,,,
NSPPAC,0,0,,,,,,,,,,,,,,,,,,,,
NSIUCN,1644811620,1644811620,,,,,,,,,,,,,,,,,,,,
NSGHLD,372038000,,,,,372038000,,,,,,,,,,,,,,,,
NSCSAB,1039927200,,,,1039927200,,,,,,,,,,,,,,,,,
NSANY,18942527600,,,,,,18942527600,,,,,,,,,,,,,,,
NSABND,144077000,,,,,,,,,,144077000,,,,,,,,,,,
NS,579159000,579159000,,,,,,,,,,,,,,,,,,,,
NRWBK,73418074567,,,73418074567,,,,,,,,,,,,,,,,,,
NRP,769976270,,,,,,,,,,,,,769976270,,,,,,,,
NRLENE,139832175,,,,,,,,,139832175,,,,,,,,,,,,
NRLBMP,51149600,,,,51149600,,,,,,,,,,,,,,,,,
NRG,4845375000,0,,,,4845375000,,,,,,,,,,,,,,,,
NR,100000000,,,,,,,,,,,,,,100000000,,,,,,,
NPSTB,423605208,,,,,423605208,,,,,,,,,,,,,,,,
NPLAZA,35413423,,,,,,,,35413423,,,,,,,,,,,,,
NPICN,774317512,,,,,187977510,,,,113671293,,,,,,472668708,,,,,,
NPDAP,429088538,429088538,,,,,,,,,,,,,,,,,,,,
NPCLIN,2955956430,,,,,2955956430,,,,,,,,,,,,,,,,
NOVASP,227314621,,,,,,,227314621,,,,,,,,,,,,,,
NOVAFR,0,,,,,,,0,,,,,,,,,,,,,,
NOV,2500000000,,,,,,,,,,,,,,2500000000,,,,,,,
NOTPMK,114942600,,,,114942600,,,,,,,,,,,,,,,,,
NOSAKR,25574800,25574800,,,,,,,,,,,,,,,,,,,,
NORVI,103542887,,,,103542887,,,,,,,,,,,,,,,,,
NORTHL,1910751500,,,,1910751500,,,,,,,,,,,,,,,,,
NORSPA,11657200,,,,11657200,,,,,,,,,,,,,,,,,
NOROO,13894680,,,,,,,13894680,,,,,,,,,,,,,,
NORNO,19808813,,,,,,,,,19808813,,,,,,,,,,,,
NORHLD,0,,,,,,,,,,,,,,0,,,,,,,
NORGEN,239500000,,,,,239500000,,,,,,,,,,,,,,,,
NORFID,23131800,,,,23131800,,,,,,,,,,,,,,,,,
NOREAS,784798245,784798245,,,,,,,,,,,,,,,,,,,,
NORDTR,159842500,159842500,,,,,,,,,,,,,,,,,,,,
NORDLI,450000000,,,,,,,,450000000,,,,,,,,,,,,,
NORCNO,0,,,,,,,,,0,,,,,,,,,,,,
NORBOR,250000000,,,,,,,,,,250000000,,,,,,,,,,,
NORACQ,550000000,,,,,,,,550000000,,,,,,,,,,,,,
NOR,175000000,,,,,,,,175000000,,,,,,,,,,,,,
NOLSP,555797160,,,,555797160,,,,,,,,,,,,,,,,,
NOGLN,725000000,,,,,,,,,725000000,,,,,,,,,,,,
NOG,700000000,,,,,,,,,700000000,,,,,,,,,,,,
NOELEK,246071403,246071403,,,,,,,,,,,,,,,,,,,,
NOBLSP,2705920000,,,,,,,,,,,,,2705920000,,,,,,,,
NOBINA,0,,,,0,,,,,,,,,,,,,,,,,
NOACN,31826880,,,,,,,,,,,,,,31826880,,,,,,,
NNPCLA,190364400,,,,,190364400,,,,,,,,,,,,,,,,
NNA,670000000,,,,670000000,,,,,,,,,,,,,,,,,
NMMINE,366234100,,,,,,,,,,,,,366234100,,,,,,,,
NMICN,0,,,,,,,,0,,,,,,,,,,,,,
NMHIGH,2210581072,,,,2210581072,,,,,,,,,,,,,,,,,
NMEXIN,200000000,200000000,,,,,,,,,,,,,,,,,,,,
NMEXGC,270000000,270000000,,,,,,,,,,,,,,,,,,,,
NM,1330000000,,,,1330000000,,,,,,,,,,,,,,,,,
NLNGIX,11658250,,,,11658250,,,,,,,,,,,,,,,,,
NLMKRU,1489883000,,,,,,,,1489883000,,,,,,,,,,,,,
NLEY,0,0,,,,,,,,,,,,,,,,,,,,
NLCIN,93567600,,,,,93567600,,,,,,,,,,,,,,,,
NKA,219226000,,,,,,,,,,219226000,,,,,,,,,,,
NK,2360115265,,,,,,,2360115265,,,,,,,,,,,,,,
NJWTER,199259350,199259350,,,,,,,,,,,,,,,,,,,,
NJTHBR,0,,,,0,,,,,,,,,,,,,,,,,
NJSEAI,15948500,,,,,,,,,,,,,,,15948500,,,,,,
NJR,400000000,400000000,,,,,,,,,,,,,,,,,,,,
NJPORT,66440645,,,,66440645,,,,,,,,,,,,,,,,,
NJLUKO,97253550,,,,97253550,,,,,,,,,,,,,,,,,
NJGANO,450372243,,,,,,,,,,450372243,,,,,,,,,,,
NJFAC,0,,,,,,,0,,,,,,,,,,,,,,
NIZLEN,0,,,,,,,,0,,,,,,,,,,,,,
NITROG,200000000,,,,,,,200000000,,,,,,,,,,,,,,
NITEBZ,13829464,13829464,,,,,,,,,,,,,,,,,,,,
NISSTL,182515000,,,,,,,,182515000,,,,,,,,,,,,,
NISFAU,665380000,,,,,,665380000,,,,,,,,,,,,,,,
