investor_name,portfolio_name,holding_id,isin,value_usd,company_name,asset_type,bics_sector,valid_input,direct_holding,financial_sector,sectors_with_assets,has_assets_in_fin_sector,flag
UNPRI,European Portfolio,96,AU000000CAR3,1470886.6988706002,Carsales.Com Ltd,Equity,Communications,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,97,AU000000CBA7,29174128.15152185,Commonwealth Bank Of Australia,Equity,Financials,TRUE,TRUE,Other,Power,FALSE,Included in analysis
UNPRI,European Portfolio,98,AU000000CCL2,2115464.7838716484,Coca-Cola Amatil Ltd,Equity,Consumer Staples,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,99,AU000000CCP3,601792.1292471001,Credit Corp Group Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,100,AU000000CGC2,259548.91307611202,Costa Group Holdings Ltd,Equity,Consumer Staples,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,101,AU000000CGF5,1737098.0245309682,Challenger Ltd,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,102,AU000000CHC0,2001780.136384776,Charter Hall Group,Others,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,103,AU000000CIM7,631382.4164040361,Cimic Group Ltd,Equity,Industrials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,104,AU000000CIP0,245781.85580678403,NA,Others,NA,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,105,AU000000CKF7,361834.71818868,Collins Foods Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,106,AU000000CLW0,612994.6536327241,NA,Others,NA,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,107,AU000000CMA4,271262.89748487604,NA,Others,NA,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,108,AU000000CMW8,873129.4209171601,Cromwell Property Group,Others,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,109,AU000000COE2,381000.52014670806,Cooper Energy Ltd,Equity,Energy,TRUE,TRUE,Oil&Gas,Oil&Gas,TRUE,Included in analysis
UNPRI,European Portfolio,110,AU000000COH5,3057528.6833823603,Cochlear Ltd,Equity,Health Care,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,111,AU000000CPU5,1648525.5475539842,Computershare Ltd,Equity,Technology,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,112,AU000000CQR9,619242.7319356081,Charter Hall Retail Reit,Others,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,113,AU000000CSL8,26402896.190546967,Csl Ltd,Equity,Health Care,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,114,AU000000CSR5,851315.3926170961,Csr Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,115,AU000000CTD3,621101.5533126361,Corporate Travel Management Lt,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,116,AU000000CTX1,1497979.6145610122,Caltex Australia Ltd,Equity,Energy,TRUE,TRUE,Oil&Gas,NA,FALSE,Included in analysis
UNPRI,European Portfolio,117,AU000000CUV3,388312.84859875205,Clinuvel Pharmaceuticals Ltd,Equity,Health Care,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,118,AU000000CWN6,2564125.782190632,Crown Resorts Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,119,AU000000CWP1,213427.618019748,Cedar Woods Properties Ltd,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,120,AU000000CWY3,1519993.0606074722,Cleanaway Waste Management Ltd,Equity,Industrials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,121,AU000000DDR5,123737.16175986001,Dicker Data Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,122,AU000000DHG9,330104.564955132,Domain Holdings Australia Ltd,Equity,Communications,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,123,AU000000DMP0,1183168.2209240522,Domino'S Pizza Enterprises Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,124,AU000000DOW2,1884181.528155168,Downer Edi Ltd,Equity,Industrials,TRUE,TRUE,Other,Power,FALSE,Included in analysis
UNPRI,European Portfolio,125,AU000000DXS1,4780199.402250492,Dexus,Others,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,126,AU000000EHE2,180501.991560396,Estia Health Ltd,Equity,Health Care,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,127,AU000000EHL7,199685.358812148,Emeco Holdings Ltd,Equity,Industrials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,128,AU000000ELD6,277230.96434074803,Elders Ltd,Equity,Consumer Staples,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,129,AU000000EML7,343397.359293912,Eml Payments Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,130,AU000000EVN4,2227411.500532416,Evolution Mining Ltd,Equity,Materials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,131,AU000000FLT9,705774.535082892,Flight Centre Travel Group Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,132,AU000000FMG4,10472867.2505919,Fortescue Metals Group Ltd,Equity,Materials,TRUE,TRUE,Steel,Power + Shipping,FALSE,Included in analysis
UNPRI,European Portfolio,133,AU000000FNP3,257461.742880672,Freedom Foods Group Ltd,Equity,Consumer Staples,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,134,AU000000FXL1,207281.83172149202,Flexigroup Ltd/Australia,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,135,AU000000GDI7,304908.700986912,Gdi Property Group,Others,Unclassifiable,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,136,AU000000GEM7,303091.209712764,G8 Education Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,137,AU000000GMA5,335466.11255124,Genworth Mortgage Insurance Au,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,138,AU000000GMG2,8818302.341754576,Goodman Group,Others,Unclassifiable,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,139,AU000000GNC9,644227.81237914,Graincorp Ltd,Equity,Consumer Staples,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,140,AU000000GOR5,327973.99815166806,Gold Road Resources Ltd,Equity,Materials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,141,AU000000GOZ8,413746.360658532,Growthpoint Properties Austral,Others,Unclassifiable,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,142,AU000000GPT8,4346114.497964713,Gpt Group/The,Others,Unclassifiable,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,143,AU000000GUD2,373020.71053315204,Gud Holdings Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,144,AU000000GWA4,253178.910969732,Gwa Group Ltd,Equity,Unclassifiable,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,145,AU000000GXY2,133255.48445312402,Galaxy Resources Ltd,Equity,Materials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,146,AU000000HSN3,229954.49290888803,Hansen Technologies Ltd,Equity,Technology,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,147,AU000000HT18,166369.16288058003,Ht&E Ltd,Equity,Communications,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,148,AU000000HUB4,231128.26783068,Hub24 Ltd,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,149,AU000000HVN7,1446710.6551909442,Harvey Norman Holdings Ltd,Equity,Consumer Staples,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,150,AU000000IAG3,5691147.933807996,Insurance Australia Group Ltd,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,151,AU000000IEL5,938242.931499456,Idp Education Ltd,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,152,AU000000IFL2,922744.1429194561,Ioof Holdings Ltd,Equity,Unclassifiable,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,154,AU000000IGO4,1225823.986853928,Independence Group Nl,Equity,Materials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,155,AU000000ILU1,1541982.741844776,Iluka Resources Ltd,Equity,Materials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,156,AU000000IMF0,273105.18682075205,Imf Bentham Ltd,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,157,AU000000INA9,337671.073539888,Ingenia Communities Group,Others,Unclassifiable,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,158,AU000000ING6,379451.67454128,Inghams Group Ltd,Equity,Consumer Staples,TRUE,TRUE,Other,NA,FALSE,Included in analysis
